park_name,park_code,State,Latitude,Longitude,Acres,category,common_names,scientific_name,observations,conservation_status
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Scarlet Pimpernel,Anagallis arvensis,239,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Pimpernel, Scarlet Pimpernel",Anagallis arvensis,239,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Shockley's Ivesia, Sky Mousetail",Ivesia shockleyi var. shockleyi,223,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Indian Ricegrass,Achnatherum hymenoides,88,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Nonvascular Plant,Prairie Sphagnum,Sphagnum palustre,110,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Hedgehog Cryptantha, Prickly Cryptantha",Cryptantha echinella,252,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Cutleaf Coneflower,Rudbeckia laciniata var. laciniata,81,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Serrate Sedge, Woodrush Sedge",Carex luzulina var. ablata,135,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,White Snakeroot,Ageratina altissima,94,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Bird,Chestnut-Sided Warbler,Dendroica pensylvanica,88,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Nonvascular Plant,Blepharostoma,Blepharostoma trichophyllum,147,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Shining Clubmoss, Shining Club-Moss",Huperzia lucidula,68,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Grass-Of-Parnassus, Kidneyleaf Grass-Of-Parnassus",Parnassia asarifolia,138,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Reptile,Eastern Milk Snake,Lampropeltis triangulum triangulum,140,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Bird,Grasshopper Sparrow,Ammodramus savannarum,241,Species of Concern
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Mount Rose Buckwheat, Rosy Buckwheat",Eriogonum rosense,113,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Tall Buttercup, Tall Butter-Cup",Ranunculus acris,85,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Goldenfleece,Ericameria arborescens,73,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Whitestem Clarkia,Clarkia gracilis ssp. albicaulis,110,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Flaxgrass, Oatgrass, Wheat Oats, Wild Oat, Wild Oats",Avena fatua,67,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Water Star-Wort,Callitriche terrestris,247,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Bird,Sharp-Shinned Hawk,Accipiter striatus,115,Species of Concern
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Masterwort,Heracleum lanatum,99,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Common Cowparsnip, Cow Parsnip",Heracleum lanatum,99,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Mountain Quail,Oreortyx pictus,126,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Pine,Pinus,154,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Fewflower Woolstar, Great Basin Woollystar",Eriastrum sparsiflorum,62,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Fish,Speckled Dace,Rhinichthys osculus,210,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Maryland Meadow Beauty, Pale Meadow Beauty",Rhexia mariana,155,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Hierba De Chivo, Old-Man's-Beard, Virgins Bower, Virginsbower, Virgin's-Bower, Western White Clematis",Clematis ligusticifolia,108,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Sierra Bladdernut,Staphylea bolanderi,252,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Bird,Black-Throated Sparrow,Amphispiza bilineata,239,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Eurasian Wigeon,Anas penelope,74,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Mammal,"White-Tailed Jack Rabbit, White-Tailed Jackrabbit",Lepus townsendii,110,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Bird,Saw-Whet Owls,Aegolius,191,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Mountain Pepper-Bush,Clethra acuminata,68,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Arrowleaf Violet,Viola sagittata var. sagittata,265,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Thimbleweed, Virginia Anemone",Anemone virginiana,221,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Rattlesnake Hawkweed,Hieracium venosum,146,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Parish Wheatgrass,Elymus stebbinsii,130,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Chinese Bushclover, Cuneate Bush-Clover",Lespedeza cuneata,48,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Fee's Lipfern, Slender Lip Fern, Slender Lipfern",Cheilanthes feei,153,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Western Kingbird,Tyrannus verticalis,78,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"American Spikenard, Wild Spikenard",Aralia racemosa,175,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Bolander's Yampah,Perideridia bolanderi ssp. bolanderi,148,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Fly Poison,Amianthium muscitoxicum,90,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Cypress Panicgrass,Dichanthelium dichotomum var. ensifolium,84,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Broadleaf Pondweed, Floating Pondweed, Floatingleaf Pondweed",Potamogeton natans,137,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Amphibian,Mountain Chorus Frog,Pseudacris brachyphona,238,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Arctic Buttercup, High Northern Buttercup",Ranunculus hyperboreus,92,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Mammal,Golden-Mantled Ground Squirrel,Spermophilus lateralis,67,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Needle Sedge,Eleocharis acicularis,187,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Needle Spikerush, Needle Spikesedge",Eleocharis acicularis,187,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Mammal,"Antelope, Pronghorn",Antilocapra americana,262,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Sedge,Carex albicans var. australis,71,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Hairy-Jointed Meadow-Parsnip, Meadow-Parsnip",Thaspium barbinode,221,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Tufted Hairgrass,Deschampsia cespitosa,164,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Manystem Sedge,Carex multicaulis,158,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Mammal,Eastern Pipistrelle,Pipistrellus subflavus,85,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Hawksbeard, Slender Hawksbeard",Crepis atribarba,110,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Bird,Black Rosy-Finch,Leucosticte atrata,158,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Twotoothed Cephalozia,Cephalozia bicuspidata ssp. ambigua,262,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Canada Clearweed, Richweed, Clearweed",Pilea pumila,169,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Oregon Willowherb, Oregon Willowweed",Epilobium oregonense,140,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Scaly Blazing Star,Liatris squarrosa,176,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Dense Blazing Star, Spike Gay-Feather",Liatris spicata,125,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Durango Root,Datisca glomerata,147,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Trelease's Draba,Draba paysonii var. treleasii,117,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Mammal,Silver-Haired Bat,Lasionycteris noctivagans,245,Species of Concern
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Mammal,"Silver-Haired Bat, Silver-Haired Bat",Lasionycteris noctivagans,245,Species of Concern
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Brewer's Daisy, Brewer's Fleabane",Erigeron breweri var. breweri,228,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Maryland Golden Aster,Chrysopsis mariana,109,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Blue Wild Rye, Blue Wildrye",Elymus glaucus,246,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Shasta Sedge,Carex straminiformis,100,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Broad-Leaved Pondweed, Large-Leaf Pondweed",Potamogeton amplifolius,101,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Largeleaf Pondweed,Potamogeton amplifolius,101,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",Osmorhiza berteroi,87,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Rough-Legged Hawk,Buteo lagopus,97,Species of Concern
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Blue-Eyed Grass, Pointed Blue-Eyed-Grass",Sisyrinchium angustifolium,158,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Little-Leaf Sensitive-Briars, Sesitive-Brier, Catclaw",Mimosa quadrivalvis var. angustata,244,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Mountain Tansy Mustard, Mountain Tansymustard, Mountain Tansy-Mustard",Descurainia incana,83,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Sierra Blazingstar,Mentzelia crocea,56,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Field Madder, Silver Buffalo-Berry",Sherardia arvensis,183,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Stiff Cowbane,Oxypolis rigidior,98,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Blue Sedge,Carex complanata,34,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Mammal,Sierra Nevada Bighorn Sheep,Ovis canadensis sierrae,67,Endangered
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Fish,Blueside Darter,Etheostoma jessiae,104,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Firewheel, Indian Blanket, Indianblanket, Rosering Gaillardia",Gaillardia pulchella,225,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Woods' Rose,Rosa woodsii,99,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Field Chickweed, Field Mouse-Ear Chickweed, Starry Chickweed",Cerastium arvense,89,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Nonvascular Plant,Fragmented Screw-Moss,Tortula fragilis,137,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Broad Beech Fern,Phegopteris hexagonoptera,75,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Arrow-Wood, Southern Arrow-Wood",Viburnum dentatum,145,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Creeping Snowberry,Symphoricarpos mollis,78,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Amphibian,Blue Ridge Two-Lined Salamander,Eurycea wilderae,251,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Thomson's Calcareous Moss,Mnium thomsonii,237,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Grasslike Starwort, Little Starwort",Stellaria graminea,45,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Carolina Rose,Rosa carolina,116,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Nonvascular Plant,New England Fontinalis Moss,Fontinalis novae-angliae var. novae-angliae,88,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Nonvascular Plant,Longleaf Paraleucobryum Moss,Paraleucobryum longifolium,144,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Rugel's Anomodon Moss,Anomodon rugelii,276,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Partridge Pea,Chamaecrista nictitans ssp. nictitans var. nictitans,234,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Pogonatum Moss,Pogonatum brachyphyllum,307,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Manybranched Pepperweed, Pepperweed",Lepidium ramosissimum,182,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Samolus,Samolus valerandi ssp. parviflorus,256,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Smooth Rockcress,Arabis laevigata var. laevigata,72,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Smallflowered Gaura, Velvetweed, Velvety Gaura, Willow Gaura",Gaura parviflora,243,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Virginia Strawberry, Wild Strawberry",Fragaria virginiana,132,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Thickleaved Wild Strawberry, Virginia Strawberry, Wild Strawberry",Fragaria virginiana,132,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Pineland Nerveray, Pineland Squarehead",Tetragonotheca helianthoides,256,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,American Burnweed,Erechtites hieraciifolia var. hieraciifolia,278,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"White Hawkweed, Whiteflower Hawkweed",Hieracium albiflorum,156,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Columbia Brome,Bromus vulgaris,86,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Mountain Lady's Slipper, Mountain Ladyslipper",Cypripedium montanum,43,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"American Awlwort, American Waterawlwort",Subularia aquatica var. americana,259,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Wild Indigo, Yellow Wild-Indigo",Baptisia tinctoria,214,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Lindley's Silverpuffs,Uropappus lindleyi,115,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Flameleaf Sumac,Rhus copallinum,56,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Southern Grape Fern, Sparse-Lobe Grape-Fern",Botrychium biternatum,50,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Manyray Goldenrod, Rocky Mountain Goldenrod",Solidago multiradiata var. scopulorum,97,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Sheep Sorrel, Sheep Sorrell",Rumex acetosella,148,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Common Sheep Sorrel, Field Sorrel, Red Sorrel, Sheep Sorrel",Rumex acetosella,148,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Slippery Elm,Ulmus rubra,113,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Creeping Sibbaldia, Creeping-Glow-Wort, Prostrate Sibbaldia",Sibbaldia procumbens,104,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Bird,Northern Waterthrush,Seiurus noveboracensis,83,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Bird,Bay-Breasted Warbler,Dendroica castanea,94,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Purple Chokeberry Hybrid,Aronia X prunifolia,161,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Twisted Yellow-Eyed-Grass, Yellow-Eyed Grass",Xyris torta,224,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Nonvascular Plant,Cryphaea Moss,Cryphaea glomerata,168,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Mammal,Mexican Free-Tailed Bat,Tadarida brasiliensis,177,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Linear-Leaved Gentian, Narrow-Leaved Gentian",Gentiana linearis,163,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Claspleaf Pennycress,Microthlaspi perfoliatum,66,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Fragile Rockbrake, Slender Cliffbrake",Cryptogramma stelleri,90,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Muehlenberg's Philonotis Moss,Philonotis muehlenbergii,231,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Thymeleaf Sandmat, Thyme-Leaf Sandmat, Thymeleaf Spurge",Chamaesyce serpyllifolia ssp. serpyllifolia,91,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Running-Pine,Lycopodium complanatum,83,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Alpine Pennycress,Noccaea montana,237,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Steller's Jay,Cyanocitta stelleri,95,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Golden-Yarrow,Eriophyllum confertiflorum var. confertiflorum,115,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Weedy Dwarfdandelion,Krigia caespitosa,147,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Spider Flower,Cleome hassleriana,122,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Blepharostoma,Blepharostoma trichophyllum,252,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Toothed Sphagnum,Sphagnum cuspidatum,236,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Shortspine Horsebrush, Spiny Horsebrush",Tetradymia spinosa,106,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Thin-Leaved Strawberry,Fragaria vesca,124,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Woodland Strawberry,Fragaria vesca,124,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Sleepy Catchfly,Silene antirrhina,64,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Catchfly, Sleepy Campion, Sleepy Catchfly, Sleepy Silene",Silene antirrhina,64,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Bluehead Gilia,Gilia capitata ssp. pedemontana,120,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Lacepod Mustard, Sand Fringepod, Sand Lacepod",Thysanocarpus curvipes,73,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Largeleaf Avens, Large-Leaf Avens",Geum macrophyllum,77,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Sulphur Indian Paintbrush,Castilleja sulphurea,89,Species of Concern
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Redtop,Agrostis gigantea,104,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Black Bent, Redtop, Water Bentgrass",Agrostis gigantea,104,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Bull Elephant's-Head, Elephanthead Lousewort",Pedicularis groenlandica,68,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Weft Fern,Trichomanes intricatum,135,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Dog-Hobble, Highland Dog-Hobble",Leucothoe fontanesiana,65,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Black Amber, Broomcorn, Broom-Corn, Chicken Corn, Shatter Cane, Shattercane, Sorghum, Wild Cane",Sorghum bicolor,284,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Bird,California Thrasher,Toxostoma redivivum,225,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Bearded Wheatgrass, Rye Grass, Slender Wheatgrass, Wheatgrass",Elymus trachycaulus var. trachycaulus,149,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Hepatica,Hepatica nobilis,43,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Mountain Twistflower, Shieldplant",Streptanthus tortuosus,271,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Nonvascular Plant,Rauiella Moss,Rauiella scita,91,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Norway Maple,Acer platanoides,83,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Japanese Brome, Japanese Chess",Bromus japonicus,232,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Japanese Brome, Japanese Bromegrass, Japanese Chess",Bromus japonicus,232,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Roan Rattlesnakeroot, Roan's Rattlesnakeroot",Prenanthes roanensis,169,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Bird,Snowy Owl,Bubo scandiacus,125,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Lobelia,Lobelia spicata var. leptostachys,165,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Inyo Rockcress,Arabis inyoensis,236,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Fish,Smoky Madtom,Noturus baileyi,22,Endangered
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Needleleaf Navarretia,Navarretia intertexta ssp. intertexta,291,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Dwarf Bilberry, Dwarf Blueberry",Vaccinium cespitosum,87,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Fish,White Bass,Morone chrysops,110,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Longanther Rush,Juncus macrandrus,164,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Thickleaf Draba,Draba crassa,53,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Fish,Freshwater Drum,Aplodinotus grunniens,97,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Swamp Milkweed,Asclepias incarnata ssp. pulchra,67,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Wingstem,Verbesina alternifolia,251,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Mammal,Appalachian Cottontail,Sylvilagus obscurus,82,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Climbing Hydrangea,Decumaria barbara,89,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Bailey's Dewberry,Rubus baileyanus,110,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Nonvascular Plant,Platyhypnidium Moss,Platyhypnidium riparoides,159,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Intumescent Sedge,Carex intumescens,170,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Streamside Leptodictyum Moss,Leptodictyum riparium,224,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Smoothstem Blazingstar,Mentzelia laevicaulis var. laevicaulis,83,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Sierra Daisy, Stalked Fleabane",Erigeron algidus,65,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Crookedstem Aster,Symphyotrichum prenanthoides,286,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Sweet William, Sweet-William",Dianthus barbatus,131,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Sweetwilliam,Dianthus barbatus,131,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Desert Yellow Fleabane, Linearleaf Daisy",Erigeron linearis,83,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Toothed Whitetop Aster,Sericocarpus asteroides,213,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Shining Or Winged Sumac,Rhus copallinum var. copallinum,71,
